parent_name	parent_version	child_name	child_version	edge_contexts	cargo_all_targets_active
cranelift-codegen	0.132.3	cranelift-entity	0.132.3	normal:all	true
cranelift-codegen	0.132.3	cranelift-isle	0.132.3	build:all	true
cranelift-codegen	0.132.3	gimli	0.33.0	normal:all	true
cranelift-codegen	0.132.3	hashbrown	0.17.1	normal:all	true
cranelift-codegen	0.132.3	libm	0.2.16	normal:all	true
cranelift-codegen	0.132.3	log	0.4.29	normal:all	true
cranelift-codegen	0.132.3	pulley-interpreter	45.0.3	normal:all	true
cranelift-codegen	0.132.3	regalloc2	0.15.1	normal:all	true
cranelift-codegen	0.132.3	rustc-hash	2.1.1	normal:all	true
cranelift-codegen	0.132.3	serde	1.0.228	normal:all	false
cranelift-codegen	0.132.3	smallvec	1.15.1	normal:all	true
cranelift-codegen	0.132.3	target-lexicon	0.13.5	normal:all	true
cranelift-codegen	0.132.3	wasmtime-internal-core	45.0.3	normal:all	true
cranelift-codegen-meta	0.132.3	cranelift-assembler-x64-meta	0.132.3	normal:all	true
cranelift-codegen-meta	0.132.3	cranelift-codegen-shared	0.132.3	normal:all	true
cranelift-codegen-meta	0.132.3	cranelift-srcgen	0.132.3	normal:all	true
cranelift-codegen-meta	0.132.3	heck	0.5.0	normal:all	true
